Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	59228.016	42778.07	20189.63	14932.015
100	30974.775	10839.76	68001.84	9139.6
150	57984.76	22237.404	12323.005	13832.81
200	94109.6	37157.805	20673.006	18843.76
250	143214.73	54741.836	30746.32	24266.99
300	196413.72	73757.74	41546.38	29172.03
350	277243.4	98428.7	55711.89	35520.61
400	351776.0	128675.05	73267.75	42268.15
450	440874.62	158105.3	93376.26	48964.31
500	523682.62	185446.42	108917.42	53399.285
550	621003.9	220040.02	129665.03	58699.977
600	737966.9	258492.28	153346.0	65316.71
650	866747.8	302240.47	179769.94	72504.586
700	991446.5	347239.9	205553.28	78616.43
750	1145348.4	396239.2	236107.6	85860.61
800	1291179.0	448017.72	267618.8	92464.14
850	1455983.4	504131.97	301045.3	98162.16
900	1595676.1	550454.44	332554.62	101984.53
950	1783467.6	614173.25	370265.4	109069.76
1000	1969131.2	676545.25	409562.1	115704.8
